USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
724555,3936,MANHATTAN REGIONAL AIRPORT,US,KS,KMHK,39.135,-96.679,321.9,20060101,20200211
724556,13989,EMPORIA MUNICIPAL AIRPORT,US,KS,KEMP,38.329,-96.195,364.5,19730101,20200211
724560,13996,PHILIP BILLARD MUNICIPAL AIRPORT,US,KS,KTOP,39.073,-95.626,267,19730101,20200211
724565,13920,FORBES FIELD AIRPORT,US,KS,KFOE,38.95,-95.664,325.2,19421001,20200211
724567,13921,SHERMAN AAF,US,KS,KFLV,39.367,-94.917,235,19370203,19981001
724580,13984,BLOSSER MUNICIPAL AIRPORT,US,KS,KCNK,39.551,-97.651,447.8,19730101,20200211
724585,93997,RUSSELL MUNICIPAL AIRPORT,US,KS,KRSL,38.876,-98.809,568.2,19430201,20200211
724586,3919,SALINA MUNICIPAL AIRPORT,US,KS,KSLN,38.8,-97.65,386.8,19730101,20200211
724586,13922,SALINA MUNI,US,KS,KSLN,38.783,-97.65,393,19421101,19650601
724604,93076,ELKHART-MORTON CO AIRPORT,US,KS,KEHA,37,-101.883,1104,20060101,20200211
724620,23061,SAN LUIS VALLEY REGIONAL AIRPORT,US,CO,KALS,37.439,-105.861,2296.1,19730101,20200211
724625,93005,DURA-LA PLATA CO AIRPORT,US,CO,KDRO,37.143,-107.76,2033,20060101,20200211
724627,3011,TELLURIDE REGIONAL AIRPORT,US,CO,KTEX,37.95,-107.9,2770.9,20060101,20200211
724635,23067,LA JUNTA MUNICIPAL AIRPORT,US,CO,KLHX,38.049,-103.512,1278.3,19421101,20200212
724636,3013,LAMAR MUNICIPAL AIRPORT,US,CO,KLAA,38.07,-102.688,1129,20060101,20200211
724640,93058,PUEBLO MEMORIAL AIRPORT,US,CO,KPUB,38.29,-104.498,1438.7,19421001,20200211
724645,23070,PERRY STOKES AIRPORT,US,CO,KTAD,37.262,-104.338,1749.9,19730101,20200212
724646,3028,COMANCHE NATIONAL GRASSLAND,US,CO,KSPD,37.283,-102.614,1335.9,20060101,20200211
724650,23065,RENNER FIELD/GOODLAND MINI AIRPORT,US,KS,KGLD,39.367,-101.693,1114.4,19730101,20200211
724655,93990,HILL CITY MUNICIPAL ARPT,US,KS,KHLC,39.376,-99.83,666.9,19730101,20200211
724660,93037,CITY OF COLORADO SPRINGS MUNICIPAL  AP,US,CO,KCOS,38.81,-104.688,1884,19420901,20200211
724665,93010,LIMON MUNICIPAL AIRPORT,US,CO,KLIC,39.275,-103.666,1638,19730101,20200211
724666,93067,CENTENNIAL AIRPORT,US,CO,KAPA,39.57,-104.849,1793.1,20060101,20200211
724670,3017,DENVER INTL AP,US,CO,KDEN,39.833,-104.658,1655.4,19741113,19940529
724673,93009,LEADVILLE/LAKE COUNTY APT,US,CO,KLXV,39.229,-106.317,3027.3,20060101,20200211
724674,94050,MEEKER AIRPORT,US,CO,KEEO,40.044,-107.889,1940.4,20060101,20200211
724675,23063,EAGLE CO REGIONAL AIRPORT,US,CO,KEGE,39.65,-106.917,1980.3,19730101,20200211
724676,93073,ASPEN-PITKIN COUNTY ARPT,US,CO,KASE,39.23,-106.871,2353.1,20060101,20200212
724677,93007,GUNSN-CRSTED BUTTE RGL APT,US,CO,KGUC,38.533,-106.933,2336.6,20020902,20200211
724678,94033,STEAMBOAT SPRINGS/BOB ADAMS FIELD AIRPORT,US,CO,KSBS,40.517,-106.867,2096.7,20110214,20200211
724680,94015,BUTTS AAF AIRPORT,US,CO,KFCS,38.678,-104.757,1779.4,19660915,20200211
724689,3026,KIT CARSON COUNTY AIRPORT,US,CO,KITR,39.245,-102.284,1277.7,20060101,20200211
724690,23062,DENVER WSFO,US,CO,KDNR,39.75,-104.867,1612,19400515,19950301
724694,450,FRONT RANGE AIRPORT,US,CO,KFTG,39.784,-104.538,1680.4,20051203,20200130
724695,23036,BUCKLEY AIR FORCE BASE,US,CO,KBKF,39.717,-104.75,1726.1,19440301,20200211
724698,24015,COLORADO PLAINS RGNL ARPT,US,CO,KAKO,40.167,-103.217,1421.3,19730101,20200211
724699,3065,ATCT ROCKY MOUNTAIN METRO,US,CO,KBJC,39.9,-105.117,1705.4,20060101,20200212
724700,93141,CARBON COUNTY AIRPORT,US,UT,KPUC,39.609,-110.755,1804.7,20060101,20200211
724721,93025,BLANDING,US,UT,,37.617,-109.467,184.1,19750814,19900206
724723,93025,BLANDING MUNI,US,UT,K4BL,37.583,-109.483,1789,19900208,20080612
724733,23170,HANKSVILLE,US,UT,KHVE,38.417,-110.7,1355.1,20140724,20200211
724735,23170,HANKSVILLE,US,UT,KHVE,38.371,-110.715,1354.5,19730101,20121001
724737,377,INVERNESS AIRPORT,US,FL,KINF,28.817,-82.317,15.2,20090812,20200211
724750,23176,MILFORD MUNICIPAL AIRPORT,US,UT,KMLF,38.417,-113.017,1536.2,20050101,20200210
724754,23186,ST GEORGE MUNICIPAL ARPT,US,UT,KSGU,37.1,-113.6,894.9,20060101,20200211
724755,93129,CEDAR CITY REGIONAL ARPT,US,UT,KCDC,37.709,-113.094,1702.6,19730101,20200211
724756,23159,BRYCE CANYON AIRPORT,US,UT,KBCE,37.706,-112.146,2312.2,19730101,20200211
724757,23176,MILFORD MUNICIPAL AP,US,UT,KMLF,38.417,-113.017,1534.1,19770101,19830430
